Model,MAE,RMSE,R2,Accuracy,Precision,Recall,F1 Score
Incident Response,307.19554885823413,642.1090726027259,0.648411702134982,,,,
Dispatch Time,108.12020874023438,473.5285432262769,0.6744822263717651,,,,
ETA Prediction,40.12425994873047,313.55764771011405,0.9276496767997742,,,,
Delay Classification,,,,0.7260187923678907,0.792296374026211,0.7630663705051224,0.777406711866076
Demand Forecasting,13.731746116667937,17.805370597358625,0.8961639642284271,,,,
